,utme,utmn,T_emp,Sc
168,427260,7445350,,
169,426290,7444300,,
170,427730,7444450,,
171,425520,7437090,,
172,428310,7445100,,
173,430550,7444100,,
174,424180,7442420,,
175,425730,7443200,,
176,436890,7449660,,
177,437030,7450640,,
