like1,parmu,simulation_0,chain
0.0,-5.242338926642779,-550.0,2.0
0.0,-3.400097553864155,-550.0,3.0
0.0,-13.081824035865438,-550.0,1.0
0.0,-13.947224774968461,-550.0,2.0
0.0,-6.239140264982176,-550.0,3.0
0.0,-15.244352799683005,-550.0,1.0
0.0,-10.585523335278895,-550.0,2.0
0.0,-14.030254013575066,-550.0,3.0
0.0,-8.73720222607934,-550.0,1.0
0.0,-8.499380850361483,-550.0,2.0
0.0,-7.585445136874322,-550.0,3.0
0.0,-10.5090361558593,-550.0,1.0
0.0,-7.263790918405325,-550.0,2.0
0.0,-5.581509776420944,-550.0,3.0
0.0,-12.202241841443943,-550.0,1.0
0.0,-15.038780076664683,-550.0,2.0
0.0,-5.703718711904681,-550.0,3.0
0.0,-8.972027268529672,-550.0,1.0
0.0,-8.151132434578749,-550.0,2.0
0.0,-8.972027268529672,-550.0,3.0
0.0,-15.763379303603157,-550.0,1.0
0.0,-2.362652685462896,-550.0,2.0
0.0,-10.033717529709271,-550.0,3.0
0.0,-6.283466452330742,-550.0,1.0
0.0,-4.45860342939562,-550.0,2.0
0.0,-8.675262454384537,-550.0,3.0
0.0,-11.877635953963361,-550.0,1.0
0.0,-7.62669900506263,-550.0,2.0
0.0,-12.584942380876964,-550.0,3.0
0.0,-6.4017057258412216,-550.0,1.0
0.0,-2.4789768674748434,-550.0,2.0
0.0,-4.321218240253467,-550.0,3.0
0.0,-6.73602191997065,-550.0,1.0
0.0,-12.584942380876964,-550.0,2.0
0.0,-6.73602191997065,-550.0,3.0
0.0,-9.346949561693563,-550.0,1.0
0.0,-5.561540428705889,-550.0,2.0
0.0,-11.168751074943232,-550.0,3.0
0.0,-4.304055755815385,-550.0,1.0
0.0,-15.763379303603157,-550.0,2.0
0.0,-4.304055755815385,-550.0,3.0
0.0,-3.117192080520965,-550.0,1.0
0.0,-4.537444105019061,-550.0,2.0
0.0,-5.819238314804728,-550.0,3.0
0.0,-2.4544571471350505,-550.0,1.0
0.0,-8.952980276674312,-550.0,2.0
0.0,-2.4544571471350505,-550.0,3.0
0.0,-8.946072060389707,-550.0,1.0
0.0,-5.581509776420944,-550.0,2.0
0.0,-3.9290578960652596,-550.0,3.0
0.0,-2.201131019380826,-550.0,1.0
0.0,-7.585445136874322,-550.0,2.0
0.0,-2.201131019380826,-550.0,3.0
0.0,-13.367723630003905,-550.0,1.0
0.0,-14.692784397146227,-550.0,2.0
0.0,-13.367723630003905,-550.0,3.0
0.0,-3.087090652804088,-550.0,1.0
0.0,-3.7880664875764563,-550.0,2.0
0.0,-13.817578855281525,-550.0,3.0
0.0,-3.9965031488317813,-550.0,1.0
0.0,-5.242338926642779,-550.0,2.0
0.0,-3.400097553864155,-550.0,3.0
0.0,-13.687932935594588,-550.0,1.0
0.0,-5.503385445566089,-550.0,2.0
0.0,-13.817578855281525,-550.0,3.0
0.0,-12.462152504957995,-550.0,1.0
0.0,-13.367723630003905,-550.0,2.0
0.0,-12.705193246432744,-550.0,3.0
0.0,-3.831491232425474,-550.0,1.0
0.0,-5.171071681924655,-550.0,2.0
0.0,-15.892295930230368,-550.0,3.0
0.0,-2.276606015709575,-550.0,1.0
0.0,-5.581509776420944,-550.0,2.0
0.0,-2.276606015709575,-550.0,3.0
0.0,-12.250281036248367,-550.0,1.0
0.0,-9.461781995832052,-550.0,2.0
0.0,-2.5505722907035775,-550.0,3.0
0.0,-3.255649895233393,-550.0,1.0
0.0,-9.717676350291047,-550.0,2.0
